,sold_date,sold_price,bed_room,bath_room,property_sqft,property_alot,address
39,"Sold - Sep 15, 2023","$359,900",3bed,2.5bath,"1,836sqft1,836 square feet",1.26acre lot1.26 acre lot,"4020 Stony Meadows DrJackson, MI 49201"
40,"Sold - Sep 5, 2023","$251,000",3bed,1.5bath,"1,032sqft1,032 square feet",0.29acre lot0.29 acre lot,"1317 Gerry DrJackson, MI 49202"
41,"Sold - Jul 5, 2023","$219,000",3bed,2bath,"1,684sqft1,684 square feet",0.38acre lot0.38 acre lot,"3387 Loren DrJackson, MI 49203"
42,"Sold - Aug 3, 2023","$65,000",3bed,2bath,"1,490sqft1,490 square feet","8,276sqft lot8,276 square foot lot","708 S Gorham StJackson, MI 49203"
43,"Sold - Sep 26, 2023","$235,000",3bed,1.5bath,"2,158sqft2,158 square feet","2,158sqft lot2,158 square foot lot","530 Gregory PlJackson, MI 49202"
44,"Sold - Aug 18, 2023","$165,000",2bed,2bath,"1,123sqft1,123 square feet",661sqft lot661 square foot lot,"787 W Barrington CirJackson, MI 49203"
45,"Sold - Oct 19, 2023","$350,000",3bed,2bath,"1,748sqft1,748 square feet",1.29acre lot1.29 acre lot,"3501 Natural LnJackson, MI 49203"
46,"Sold - Aug 10, 2023","$141,000",3bed,2bath,"1,344sqft1,344 square feet","8,712sqft lot8,712 square foot lot","746 Randolph StJackson, MI 49203"
47,"Sold - Aug 21, 2023","$250,000",3bed,2.5bath,"1,245sqft1,245 square feet",1.04acre lot1.04 acre lot,"5230 Grand River CirJackson, MI 49201"
48,"Sold - Jul 31, 2023","$159,000",5bed,1bath,"1,820sqft1,820 square feet",2.07acre lot2.07 acre lot,"9173 E Michigan AveJackson, MI 49201"
49,"Sold - Jul 7, 2023","$350,000",3bed,3bath,"2,742sqft2,742 square feet",,"4624 Devon DrJackson, MI 49201"
50,"Sold - Sep 8, 2023","$169,900",2bed,2bath,"1,258sqft1,258 square feet",,"864 W Barrington CirJackson, MI 49203"
51,"Sold - Jul 7, 2023","$160,000",,,,0.53acre lot0.53 acre lot,"2450 Saint David DrJackson, MI 49201"
